#{"t_start": 1758883056.7693052, "env_id": "BipedalWalker-v3"}
r,l,t
-106.050652,82,0.481736
-106.309069,66,0.76359
-113.572339,100,1.228525
-119.167148,1600,5.79648
-101.922146,64,5.985959
-114.170183,1600,13.646967
-107.387916,1600,21.03344
-107.968225,46,21.204635
-107.930799,49,21.347893
-107.56388,63,21.511654
-149.40031,282,22.196614
-104.709126,1600,28.623286
-121.062911,91,28.827438
-113.953952,85,29.052297
-108.287722,1600,35.507326
-102.929887,1600,42.093967
-97.856227,1600,46.517785
-104.941087,1600,53.232744
-112.966427,66,53.398272
-99.300948,1600,60.242895
-103.928583,1600,67.115211
-98.725397,1600,73.893435
-114.686583,1600,78.015357
-116.074005,46,78.180987
-96.292153,101,78.530641
-109.567366,78,78.726628
-118.060108,1600,85.615678
-105.123114,1600,92.107668
-106.406842,46,92.269962
-101.926626,1600,99.049687
-106.445117,73,99.252709
-121.823879,74,99.518952
-93.819939,1600,106.405044
-107.600649,83,106.724445
-103.531956,1600,113.66359
-102.644005,57,113.818248
-101.379765,1600,117.994778
-125.685979,114,118.301755
-123.813611,142,118.791909
-116.363871,109,119.07571
-106.572995,67,121.68474
-106.086933,86,121.917582
-102.453576,55,122.058446
-102.532137,1600,126.514295
-105.73419,56,126.650067
-122.515394,78,126.845611
-105.106605,1600,134.118716
-88.024061,1600,142.175652
-99.174078,1600,149.140486
-94.508044,1600,155.931507
-100.149548,1600,160.063475
-92.010652,1600,166.96204
-96.777617,1600,174.195797
-107.138039,60,174.33665
-81.556742,1600,181.368779
-109.103275,61,181.52836
-105.80676,75,181.721975
-72.520474,1600,188.90385
-84.400553,1600,192.994853
-82.612702,1600,200.315717
-94.5877,1600,207.517427
-71.629481,1600,215.028878
-68.281421,1600,219.440592
-76.811911,1600,226.315055
-73.63414,1600,233.465285
-113.009435,76,233.648314
-74.151629,1600,240.501729
-105.198338,73,240.698416
-64.424034,1600,247.727427
-63.930768,1600,251.863259
-57.890799,1600,259.017032
-65.782511,1600,265.979825
-57.925168,1600,272.928569
-62.082946,1600,279.994629
-50.557443,1600,284.290991
-50.7848,1600,291.117262
-116.477252,66,291.273077
-42.778531,1600,298.148534
-43.541462,1600,305.268595
-43.432209,1600,312.34867
-39.461479,1600,316.648901
-34.152908,1600,323.608631
-27.755481,1600,330.742987
-23.015257,1600,337.768708
-114.998948,121,338.084009
-9.654233,1600,342.328853
-20.811133,1600,349.518744
-26.514299,1600,356.168697
-28.604816,1600,363.080193
-20.878085,1600,369.922513
-16.061518,1600,374.369061
-7.650968,1600,381.462583
-15.010623,1600,388.490984
-3.967353,1600,395.69468
-2.480215,1600,402.581585
16.788671,1600,406.770801
22.010708,1600,413.590828
5.81586,1600,419.913055
24.64161,1600,426.402651
41.357967,1600,430.269814
68.935601,1600,436.537843
63.707627,1600,442.87509
66.245673,1600,449.191524
79.459772,1600,455.641613
-108.924355,118,455.938332
-119.032859,85,456.121343
-116.998739,120,456.380377
90.390328,1600,460.301442
-110.782327,72,463.0151
97.293741,1600,466.720991
-99.375565,109,466.986941
-118.750552,127,467.381938
-107.888019,110,467.639054
120.507893,1600,473.900005
76.121434,1600,480.212465
79.832262,1600,486.62263
127.389901,1600,492.967021
134.974219,1600,496.843913
-55.350875,601,500.652508
-106.22357,79,500.852971
147.380985,1600,504.656618
-134.606018,185,507.594499
-114.36686,81,507.785006
-115.253318,85,507.974009
-105.990044,89,508.169087
-57.437788,875,510.267945
-117.351188,64,510.419912
-127.355215,120,510.704912
-116.275516,79,510.915825
-110.401749,193,511.467817
121.274755,1600,517.845593
-128.105643,107,518.097592
-117.348279,72,518.251839
24.798435,1565,524.418465
-11.171758,1128,529.459071
-118.577512,89,529.650104
-124.141144,101,529.858071
-117.28572,76,530.030104
139.293793,1600,533.782224
-113.598251,76,533.959226
-89.421772,151,536.768976
-111.662909,79,536.942156
140.448764,1600,540.614862
132.374396,1600,546.886262
-124.054362,95,547.091548
154.611585,1600,553.112946
-136.853666,128,553.417183
-119.337465,117,553.679302
-101.898356,116,553.948301
-81.709174,447,555.038728
-121.372526,83,555.212728
-117.848162,218,558.169316
155.286008,1600,561.876003
-116.948222,161,562.25067
132.375871,1600,568.631193
-135.405077,131,568.935867
132.269172,1600,575.089893
-118.745213,111,575.341887
131.421402,1600,581.412392
-109.6769,449,582.488353
-118.542768,67,582.646114
-96.186036,127,582.937657
-111.915215,68,583.093559
130.859815,1600,589.223254
139.289478,1600,595.190045
-30.371656,741,596.936875
152.706552,1600,603.12566
-102.311143,228,603.635785
16.088025,1435,609.398601
151.855979,1600,615.542883
142.499274,1600,619.268906
-108.892258,83,619.468729
163.579551,1600,626.501726
-78.895851,289,627.193892
-97.188678,148,627.529587
-34.671982,904,632.557717
141.035672,1600,639.106024
133.276596,1600,643.270738
-101.012355,111,643.564148
148.294639,1600,650.508827
157.32887,1600,657.36629
155.78756,1600,663.989047
162.84755,1600,670.627657
149.392593,1600,674.684314
10.369821,1073,680.234354
-68.724899,404,681.208494
-73.233394,342,682.047125
172.275892,1600,688.642568
175.424663,1600,695.682526
-85.474777,192,696.161145
32.124064,1277,699.531788
-95.85343,169,702.39908
23.707147,1125,705.197873
41.34937,1314,711.246975
-11.466269,936,713.508072
-85.812392,261,714.165331
160.761562,1600,720.892367
163.256174,1600,727.765279
37.486241,1421,733.824295
-25.404587,772,735.888688
-57.240864,758,737.754339
174.594989,1600,744.593866
-70.020376,361,745.552665
-98.402567,186,746.156354
-97.864942,153,746.524519
24.957252,1184,752.228731
-37.025777,630,753.718645
169.526673,1600,760.393851
-33.103192,763,762.411572
173.261888,1600,769.288672
-11.711036,736,773.955642
-33.599134,896,776.273496
170.245091,1600,783.228685
174.330208,1600,790.23677
192.741717,1600,794.691019
-118.354526,79,794.885234
-7.996007,747,799.469873
155.587897,1600,806.393872
-88.581546,208,807.014616
-66.126021,755,808.883283
-59.14623,476,810.160693
-44.372846,534,814.3249
151.989654,1600,818.404649
170.908519,1600,824.673536
158.249253,1600,830.885236
149.441273,1600,837.085823
140.532881,1600,840.84009
181.539502,1600,846.843663
167.703868,1600,852.929779
183.849622,1600,858.978878
-58.259732,759,860.683537
-70.570577,365,861.615698
23.30938,1199,866.822382
19.074157,971,869.124968
207.95122,1600,875.263402
202.518337,1600,881.384943
186.534936,1600,887.582067
191.368858,1600,893.784255
-90.512453,185,894.191951
-29.565694,569,895.508785
-70.928347,477,896.623662
-7.836311,986,901.349293
32.011276,1408,904.5065
199.650861,1600,910.598885
48.667695,1193,915.70307
172.286015,1600,919.400414
195.715436,1600,925.50263
181.378293,1600,931.650663
37.03612,1209,936.857755
210.606695,1600,940.518975
191.66303,1600,946.698075
193.875348,1600,952.709591
204.57189,1600,958.711072
191.285899,1600,964.824054
48.838995,1228,967.604427
195.226252,1600,973.617403
200.458988,1600,979.781391
207.454451,1600,983.447107
-51.82251,748,987.562335
19.309761,1145,990.178946
212.403086,1600,996.159509
-0.180502,948,1000.643179
-11.948328,746,1002.327134
220.167359,1600,1009.451053
196.802402,1600,1016.597195
236.178356,1600,1020.52449
-99.214759,128,1020.893275
-70.413735,431,1024.346861
217.062071,1600,1028.128624
207.644555,1600,1034.293792
-73.442089,393,1035.185863
221.553752,1600,1041.326463
201.973523,1600,1047.537495
-41.921861,417,1048.573142
222.46229,1600,1054.641252
199.600899,1600,1060.703687
4.218187,1249,1063.743351
219.874226,1600,1069.869599
235.835671,1600,1076.051916
217.504136,1600,1082.179594
213.535894,1600,1085.950192
206.03956,1600,1092.058124
170.079117,1600,1098.230824
-31.787891,497,1099.470241
